duration_hours,group,threshold_label,threshold_mm,model,bin_index,bin_lower,bin_upper,n_samples,mean_forecast_probability,observed_frequency
12,overall,0.5in,12.7,gnn_csgd,1,0.1,0.2,934147,0.14175058721157915,0.14458859258767626
12,overall,0.5in,12.7,gnn_csgd,2,0.2,0.3,405456,0.24450234261339446,0.2546244228720256
12,overall,0.5in,12.7,gnn_csgd,3,0.3,0.4,224309,0.34544052864423724,0.36517036766246563
12,overall,0.5in,12.7,gnn_csgd,4,0.4,0.5,135747,0.44647183177443883,0.4794065430543585
12,overall,0.5in,12.7,gnn_csgd,5,0.5,0.6,92510,0.5474032621553248,0.5817533239649768
12,overall,0.5in,12.7,gnn_csgd,6,0.6,0.7,69793,0.6478454077733842,0.6773315375467454
12,overall,0.5in,12.7,gnn_csgd,7,0.7,0.8,55989,0.7484684405961928,0.7732233117219454
12,overall,0.5in,12.7,gnn_csgd,8,0.8,0.9,47993,0.8489670716531154,0.8499364490654887
12,overall,0.5in,12.7,gnn_csgd,9,0.9,1.0,55845,0.9564317888299507,0.9472826573551795
12,overall,0.5in,12.7,raw_hrrr,0,0.0,0.1,33211132,0.0,0.013156763220235913
12,overall,0.5in,12.7,raw_hrrr,9,0.9,1.0,776404,1.0,0.46509677951169753
12,overall,1in,25.4,gnn_csgd,0,0.0,0.1,33414761,0.002989518429215942,0.0030015776560544604
12,overall,1in,25.4,gnn_csgd,1,0.1,0.2,318485,0.13883802075835172,0.1449675808907798
12,overall,1in,25.4,gnn_csgd,2,0.2,0.3,107962,0.24346571680900178,0.25762768381467555
12,overall,1in,25.4,gnn_csgd,3,0.3,0.4,55012,0.34522811134715503,0.35794008579946196
12,overall,1in,25.4,gnn_csgd,4,0.4,0.5,32355,0.4458962427926863,0.4525730180806676
12,overall,1in,25.4,gnn_csgd,5,0.5,0.6,21576,0.5474586494993536,0.5562198739340007
12,overall,1in,25.4,gnn_csgd,6,0.6,0.7,14771,0.6466631196571925,0.6667795003723512
12,overall,1in,25.4,gnn_csgd,7,0.7,0.8,10198,0.7472831292301095,0.7704451853304569
12,overall,1in,25.4,gnn_csgd,8,0.8,0.9,7295,0.8479338915483685,0.8541466758053461
12,overall,1in,25.4,gnn_csgd,9,0.9,1.0,5121,0.9436363495203974,0.9470806483108768
12,overall,1in,25.4,raw_hrrr,0,0.0,0.1,33736411,0.0,0.004957996272928973
12,overall,1in,25.4,raw_hrrr,9,0.9,1.0,251125,1.0,0.3270801393728223
12,overall,2in,50.8,gnn_csgd,0,0.0,0.1,33930078,0.0007728022280335196,0.0007457984623554358
12,overall,2in,50.8,gnn_csgd,1,0.1,0.2,37353,0.13785163581848425,0.1439777260193291
12,overall,2in,50.8,gnn_csgd,2,0.2,0.3,10525,0.24145175840537508,0.2769596199524941
12,overall,2in,50.8,gnn_csgd,3,0.3,0.4,4303,0.34392899787345654,0.38624215663490585
12,overall,2in,50.8,gnn_csgd,4,0.4,0.5,2338,0.44454627549729864,0.4798973481608212
12,overall,2in,50.8,gnn_csgd,5,0.5,0.6,1439,0.5453287254115456,0.5879082696316886
12,overall,2in,50.8,gnn_csgd,6,0.6,0.7,864,0.645792825423457,0.6851851851851852
12,overall,2in,50.8,gnn_csgd,7,0.7,0.8,457,0.7416511905793288,0.8052516411378556
12,overall,2in,50.8,gnn_csgd,8,0.8,0.9,179,0.8329166543550331,0.8603351955307262
12,overall,2in,50.8,gnn_csgd,9,0.9,1.0,0,nan,nan
12,overall,2in,50.8,raw_hrrr,0,0.0,0.1,33943775,0.0,0.0008930061550313718
12,overall,2in,50.8,raw_hrrr,9,0.9,1.0,43761,1.0,0.1834967208244784
24,overall,0.5in,12.7,ann_csgd,0,0.0,0.1,21218504,0.008117465595544588,0.008289981235246368
24,overall,0.5in,12.7,ann_csgd,1,0.1,0.2,1153439,0.14377410258550438,0.14581438636980368
24,overall,0.5in,12.7,ann_csgd,2,0.2,0.3,610621,0.24531987720978307,0.25730526791577757
24,overall,0.5in,12.7,ann_csgd,3,0.3,0.4,363507,0.34630475819223844,0.36641935368507345
24,overall,0.5in,12.7,ann_csgd,4,0.4,0.5,246401,0.447053139881487,0.47651592323083103
24,overall,0.5in,12.7,ann_csgd,5,0.5,0.6,178596,0.5475079057540319,0.5886917960088692
24,overall,0.5in,12.7,ann_csgd,6,0.6,0.7,135776,0.6477944240880102,0.6885679354230497
24,overall,0.5in,12.7,ann_csgd,7,0.7,0.8,107655,0.7482848537931052,0.7808183549301008
24,overall,0.5in,12.7,ann_csgd,8,0.8,0.9,93900,0.8496867652340565,0.8679659211927583
24,overall,0.5in,12.7,ann_csgd,9,0.9,1.0,130361,0.9609009247407546,0.9585688971394819
24,overall,1in,25.4,ann_csgd,0,0.0,0.1,23083775,0.0052155264913526156,0.0053515510353051
24,overall,1in,25.4,ann_csgd,1,0.1,0.2,585270,0.14041776851896304,0.14616160062876962
24,overall,1in,25.4,ann_csgd,2,0.2,0.3,228318,0.24387801560804734,0.26763111099431497
24,overall,1in,25.4,ann_csgd,3,0.3,0.4,118614,0.3451859736709097,0.3821302713001838
24,overall,1in,25.4,ann_csgd,4,0.4,0.5,72213,0.44645629721621694,0.48182460221843715
24,overall,1in,25.4,ann_csgd,5,0.5,0.6,48007,0.5469394211711296,0.5887891349178245
24,overall,1in,25.4,ann_csgd,6,0.6,0.7,34329,0.6477589400760738,0.6902327478225407
