duration_hours,threshold_mm,model,n_samples,n_events,cutoff,cutoff_label,true_positive,false_positive,false_negative,true_negative,hit_rate,false_positive_rate,area_under_displayed_curve,published_auc
12,12.7,raw_hrrr,33987536,798054,1.0,1,361103,415301,436951,32774181,0.45247940615547316,0.012513030483573079,0.71998318783595,0.7199831878359501
12,12.7,raw_hrrr,33987536,798054,0.0,0,798054,33189482,0,0,1.0,1.0,0.71998318783595,0.7199831878359501
12,12.7,ann_csgd,33987536,798054,,No positive forecasts,0,0,798054,33189482,0.0,0.0,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.9,0.9,46787,2486,751267,33186996,0.05862635861733667,7.490324796271301e-05,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.8,0.8,85596,8863,712458,33180619,0.10725589997669331,0.0002670424322982805,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.7,0.7,128784,21849,669270,33167633,0.1613725387003887,0.0006583109673118731,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.6,0.6,177327,44792,620727,33144690,0.22219924967483404,0.001349584184531714,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.5,0.5,233376,84741,564678,33104741,0.2924313392326835,0.002553248646664627,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.4,0.4,300283,158089,497771,33031393,0.3762690244018575,0.00476322589186538,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.3,0.3,380789,299971,417265,32889511,0.47714690985823016,0.009038134430660894,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.2,0.2,483302,600810,314752,32588672,0.6056006235167044,0.01810242172505133,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.1,0.1,618144,1407378,179910,31782104,0.7745641272395101,0.042404337615151694,0.8744109730074276,0.9628490924318236
12,12.7,ann_csgd,33987536,798054,0.0,0,798054,33189482,0,0,1.0,1.0,0.8744109730074276,0.9628490924318236
12,12.7,gnn_csgd,33987536,798054,,No positive forecasts,0,0,798054,33189482,0.0,0.0,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.9,0.9,52901,2944,745153,33186538,0.06628749432995762,8.8702800483599e-05,0.8778798715620091,0.9669270785791098
